7800000,7999999
9800000,9999999
10000000,10199999
10200000,10399999
13400000,13599999
13800000,13999999
14000000,14199999
14200000,14399999
14400000,14599999
14600000,14799999
14800000,14999999
15000000,15199999
15200000,15399999
15400000,15599999
15600000,15799999
16800000,16999999
17000000,17199999
17200000,17399999
17400000,17599999
17600000,17799999
17800000,17999999
18000000,18199999
18200000,18399999
19400000,19599999
19600000,19799999
19800000,19999999
20000000,20199999
20200000,20399999
20400000,20599999
20600000,20799999
20800000,20999999
21000000,21199999
21200000,21399999
21400000,21599999
21600000,21799999
21800000,21999999
22000000,22199999
22200000,22399999
22400000,22599999
22600000,22799999
22800000,22999999
23000000,23199999
23200000,23399999
23400000,23599999
23600000,23799999
23800000,23999999
24000000,24199999
24200000,24399999
24400000,24599999
24600000,24799999
24800000,24999999
25000000,25199999
25200000,25399999
25400000,25599999
25600000,25799999
25800000,25999999
26000000,26199999
26200000,26399999
26400000,26599999
26600000,26799999
26800000,26999999
27000000,27199999
27200000,27399999
27400000,27599999
27600000,27799999
27800000,27999999
28000000,28199999
28200000,28399999
28400000,28599999
28600000,28799999
28800000,28999999
29000000,29199999
29200000,29399999
29400000,29599999
29600000,29799999
30800000,30999999
31000000,31199999
31200000,31399999
32800000,32999999
33000000,33199999
33200000,33399999
33400000,33599999
10400000,10499999
10800000,10899999
11000000,11099999
11700000,11799999
11800000,11899999
12100000,12199999
13600000,13699999
19300000,19399999
31400000,31499999
31600000,31699999
33600000,33699999
50000,99999
150000,199999
1050000,1099999
1100000,1149999
3350000,3399999
3550000,3599999
3600000,3649999
5650000,5699999
6700000,6749999
6850000,6899999
7300000,7349999
7750000,7799999
8000000,8049999
8500000,8549999
10500000,10549999
10750000,10799999
11100000,11149999
11400000,11449999
11550000,11599999
12050000,12099999
12550000,12599999
12750000,12799999
12800000,12849999
13000000,13049999
13250000,13299999
13350000,13399999
13750000,13799999
18400000,18449999
18900000,18949999
19150000,19199999
29800000,29849999
30350000,30399999
30750000,30799999
31500000,31549999
32250000,32299999
32300000,32349999
32600000,32649999
32750000,32799999
33700000,33749999
25000,49999
200000,224999
375000,399999
425000,449999
750000,774999
925000,949999
950000,974999
1000000,1024999
1275000,1299999
2375000,2399999
3650000,3674999
5325000,5349999
5400000,5424999
5625000,5649999
5725000,5749999
5750000,5774999
6900000,6924999
7150000,7174999
7275000,7299999
7400000,7424999
8225000,8249999
8400000,8424999
8475000,8499999
8550000,8574999
9775000,9799999
10725000,10749999
10975000,10999999
11350000,11374999
11525000,11549999
11900000,11924999
11950000,11974999
12000000,12024999
12250000,12274999
12300000,12324999
12600000,12624999
12850000,12874999
13300000,13324999
13725000,13749999
15800000,15824999
16075000,16099999
16775000,16799999
18450000,18474999
19275000,19299999
30075000,30099999
30325000,30349999
30450000,30474999
30725000,30749999
31550000,31574999
31700000,31724999
32350000,32374999
32450000,32474999
32525000,32549999
32575000,32599999
32650000,32674999
32725000,32749999
33750000,33774999
12500,24999
100000,112499
262500,274999
312500,324999
337500,349999
362500,374999
462500,474999
512500,524999
525000,537499
550000,562499
837500,849999
912500,924999
975000,987499
1037500,1049999
1187500,1199999
1212500,1224999
1250000,1262499
1587500,1599999
1737500,1749999
1750000,1762499
1812500,1824999
1962500,1974999
2550000,2562499
2600000,2612499
2712500,2724999
2912500,2924999
3137500,3149999
3212500,3224999
3400000,3412499
3537500,3549999
3687500,3699999
4362500,4374999
4387500,4399999
4412500,4424999
4425000,4437499
4612500,4624999
4650000,4662499
5062500,5074999
5275000,5287499
5312500,5324999
5475000,5487499
5700000,5712499
